" and "," и "
"Please select State/Province.","Пожалуйста, выберите область/район."
"Please use in this field only ""a-z,0-9,_"".","Пожалуйста, используйте в этом поле только ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Пожалуйста, используйте в этом поле только буквы (a-z)."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Пожалуйста, используйте в этом поле только цифры. Не используйте пробелы или другие символы."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Пожалуйста, используйте в этом поле только буквы (a-z) или цифры (0-9). Пробелы и другие символы запрещены."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Пожалуйста, используйте в этом поле только буквы (a-z), цифры (0-9), пробелы и #."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Пожалуйста, используйте следующий формат даты: дд/мм/гггг. Например, 17/03/2006 для 17-го марта 2006-го года."
"Please wait, loading...","Пожалуйста, подождите. Идёт загрузка..."
"Please, select a store view","Пожалуйста, выберите представление магазина"
"Prev. month (hold for menu)","Пред. месяц (подержать для появления меню)"
"Prev. year (hold for menu)","Пред. год (подержать для появления меню)"
"Previous page","Предыдущая страница"
"Price","Цена"
"Price:","Цена:"
"Primary Billing Address","Основной адрес плательщика"
"Processed <strong>%s%% %s/%d</strong> items","Обработано <strong>%s%% %s/%d</strong> позиций"
"Product","Товар"
"Products","Товары"
"Profile Information","Информация о профиле"
"Provided Files","Предоставляемые файлы"
"Qty","Кол-во"
"Read details","Прочитать подробнее"
"Recommended","Рекомендуем"
"Remote FTP","Удалённый FTP"
"Remote URL:","Удалённый (remote) URL:"
"Remove","Удалить"
"Resource Access","Доступ к ресурсу"
"Resources","Ресурсы"
"Role","Роль"
"Role Scopes","Области действия роли"
"Role Users","Пользователи с этой ролью"
"Roles","Роли"
"Roles Resources","Ресурсы ролей"
"Schedule Merge","Расписание объединения"
"Select All","Выбрать все"
"Select Date","Выбрать дату"
"Select date","Выбрать дату"
"Select Range","Выбрать период"
"Select Visible","Выбрать видимые"
"Select website from map","Выбрать сайт с карты"
"Select website to map","Выбрать сайт на карту"
"Shipment Comments","Комментарии к доставке"
"Shipment History","История доставки"
"Shipping Address","Адрес доставки"
"Shipping address selection is not applicable","Выбор адреса доставки невозможен"
"Shipping method selection is not applicable","Выбор метода доставки невозможен"
"Show by","Показывать по"
"Show Report for","Показать отчет для"
"SKU","Артикул"
"SKU:","Артикул:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Некоторые товары в этом заказе имеют разные типы счёта и доставки. Вы можете создать доставку только после создания счёта."
"Sort Order","Порядок сортировки"
"Spreadsheet Name:","Имя таблицы:"
"Staging Store: ","Текущий/временный магазин: "
"Staging Website - Merge Configuration","Текущий/временный сайт - конфигурация объединения"
"Staging Website: ","Текущий/временный сайт: "
"Start Date","Начальная дата"
"State/Province:","Штат/Область:"
"Status","Статус"
"Status:","Статус:"
"Stock Quantity:","Количество на складе:"
"Store Credit","Кредит магазина"
"Store:","Магазин:"
"Store: ","Магазин: "
"Subpackage","Подпакет"
"Subpackages","Подпакеты"
"Summary:","Итог/Обзор:"
"Switch/Solo card issue number: %s","Номер карты Switch/Solo(Великобритания): %s"
"Switch/Solo card start Date: %s/%s","Начальная дата карты Switch/Solo(Великобритания): %s/%s"
"Switch/Solo Only","Только расчётные карты Switch/Solo(Великобритания)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Номер карты Switch/Solo/Maestro(Великобритания): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Начальная дата карты Switch/Solo/Maestro(Великобритания): %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Только расчётные карты Switch/Solo/Maestro(Великобритания)"
"The information in this tab has been changed.","Информация на этой закладке была изменена."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Это демонстрационный магазин. Любые заказы, оформленные на этом сайте, не будут обработаны или выполнены."
"This is a required field.","Это обязательное поле."
"This tab contains invalid data. Please solve the problem before saving.","Эта закладка содержит неверные данные. Пожалуйста, решите проблему перед сохранением."
"Thumbnail","Мини-изображение"
"Time selection:","Выбор времени:"
"Time:","Время:"
"to","до"
"To","До"
"Top 5 Search Terms","5 самых популярных поисковых запросов"
"Total %d records found","Всего найдено записей %d"
"Track order","Отследить заказ"
"Track this shipment","Отследить груз"
"Type","Тип"
"Type:","Тип:"
"Unable to login.","Невозможно войти."
"Unselect All","Снять все"
"Unselect Visible","Снять выбор с видимых"
"Upgrade All Available Packages","Обновить все доступные пакеты"
"Upload Local File","Закачать локальный файл"
"Upload local file:","Закачать локальный файл:"
"Use Default Value","Использовать значение по умолчанию"
"Use Store Credit (%s available)","Использовать кредит магазина (%s доступно)"
"User","Пользователь"
"User Name","Имя пользователя"
"User name","Имя пользователя"
"User Roles","Роли пользователя"
"Users","Пользователи  "
"Value Delimiter:","Разделитель:"
"Version:","Версия:"
"View","Выводить"
"View Statistics for","Просмотр статистики для"
"Visibility:","Видимость:"
"Warning! Empty value can cause problems with CSV format.","Внимание! Пустое значение может вызвать проблемы с CSV форматом."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Внимание!\r\nЭто действие удалит этого пользователя из уже назначенной роли\r\nВы уверены?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Внимание!\r\nЭто действие удалит этих пользователей из уже назначенных ролей\r\nВы уверены?"
"We detected that your JavaScript seem to be disabled.","Мы обнаружили что у Вас скорее всего отключен JavaScript."
"Web Services","Интернет сервисы"
"Web Services Configuration","Конфигурация интернет сервисов"
"Website: ","Сайт: "
"Websites","Сайты"
"Websites / Stores","Сайты / Магазины"
"What is this?","Что это?"
"Yes","Да"
"You have","У вас"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Вы должны включить JavaScript в вашем браузере, чтобы использовать функциональные возможности этого сайта."
"Your Account has been deactivated.","Ваша учётная запись активирована."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","PHP настройки вашего сервера разрешают одновременное закачивание не более чем %s файлов. Пожалуйста, измените в php.ini значения post_max_size (сейчас - %s) и upload_max_filesize (сейчас - %s), если хотите иметь возможность закачивать файлы большего размера."
"Zip/Postal Code:","Почтовый индекс:"
